ancestry,cancer_type,gene,cancer_carriers,cancer_n,control_carriers,control_n,cancer_freq_pct,control_freq_pct,enrichment,p_value,q_value,significant
White,Colorectal,MSH2,14,2338,1,15942,0.5988023952095809,0.006272738677706688,95.46,4.004732961745118e-12,3.4841176767182527e-10,True
White,Colorectal,MSH6,14,2338,22,15942,0.5988023952095809,0.1380002509095471,4.34,7.265385990776446e-05,0.0016387481734751316,True
White,Colorectal,PMS2,10,2338,16,15942,0.42771599657827203,0.100363818843307,4.26,0.0008687875192263494,0.013923463137074916,True
White,Colorectal,FH,0,2338,1,15942,0.0,0.006272738677706688,0.0,1.0,1.0,False
White,Colorectal,FLCN,1,2338,1,15942,0.0427715996578272,0.006272738677706688,6.82,0.23944654715512761,0.7254872995894165,False
White,Colorectal,CDKN2A,0,2338,2,15942,0.0,0.012545477355413375,0.0,1.0,1.0,False
White,Colorectal,MITF,15,2338,53,15942,0.6415739948674081,0.3324551499184544,1.93,0.028438850638644934,0.17672714325443636,False
White,Colorectal,RAD51C,0,2338,6,15942,0.0,0.03763643206624012,0.0,1.0,1.0,False
White,Colorectal,RAD51D,1,2338,5,15942,0.0427715996578272,0.03136369338853343,1.36,0.5601066412446203,1.0,False
White,Colorectal,CDH1,0,2338,2,15942,0.0,0.012545477355413375,0.0,1.0,1.0,False
White,Kidney,ATM,8,1562,45,15942,0.5121638924455826,0.2822732404968009,1.81,0.1398945722364917,0.5125194533651822,False
White,Kidney,BARD1,1,1562,3,15942,0.06402048655569782,0.01881821603312006,3.4,0.3119699406996669,0.844398639493765,False
White,Kidney,BRCA1,5,1562,29,15942,0.3201024327784891,0.1819094216534939,1.76,0.22387098363579494,0.700608857345757,False
White,Kidney,BRCA2,8,1562,31,15942,0.5121638924455826,0.1944548990089073,2.63,0.01992644489268495,0.1404235181753513,False
White,Kidney,CHEK2,4,1562,12,15942,0.2560819462227913,0.07527286413248024,3.4,0.048190671051218645,0.25743963745782594,False
White,Kidney,MUTYH,24,1562,166,15942,1.5364916773367476,1.04127462049931,1.48,0.07362677200638634,0.34302074812020283,False
White,Kidney,NF1,1,1562,4,15942,0.06402048655569782,0.02509095471082675,2.55,0.37338153799264523,0.9451627904847086,False
White,Kidney,PALB2,0,1562,13,15942,0.0,0.08154560281018693,0.0,0.6220012227308933,1.0,False
White,Kidney,PTEN,1,1562,0,15942,0.06402048655569782,0.0,inf,0.08923674588665448,0.3825346829138665,False
White,Kidney,RET,3,1562,7,15942,0.19206145966709345,0.043909170743946804,4.37,0.05284530518489578,0.2704436206521137,False
White,Kidney,TP53,1,1562,5,15942,0.06402048655569782,0.03136369338853343,2.04,0.4293149077655171,1.0,False
White,Kidney,APC,1,1562,4,15942,0.06402048655569782,0.02509095471082675,2.55,0.37338153799264523,0.9451627904847086,False
White,Kidney,MLH1,1,1562,4,15942,0.06402048655569782,0.02509095471082675,2.55,0.37338153799264523,0.9451627904847086,False
White,Kidney,MSH2,3,1562,1,15942,0.19206145966709345,0.006272738677706688,30.62,0.002647895879752328,0.03352297650834399,True
White,Kidney,MSH6,4,1562,22,15942,0.2560819462227913,0.1380002509095471,1.86,0.2856650704219216,0.7841950853302792,False
White,Kidney,PMS2,2,1562,16,15942,0.12804097311139565,0.100363818843307,1.28,0.6720550914877009,1.0,False
White,Kidney,FH,4,1562,1,15942,0.2560819462227913,0.006272738677706688,40.82,0.000293451157996414,0.006162474317924694,True
White,Kidney,FLCN,3,1562,1,15942,0.19206145966709345,0.006272738677706688,30.62,0.002647895879752328,0.03352297650834399,True
White,Kidney,VHL,4,1562,0,15942,0.2560819462227913,0.0,inf,6.319086559208105e-05,0.0014801245055991292,True
White,Kidney,CDKN2A,1,1562,2,15942,0.06402048655569782,0.012545477355413375,5.1,0.24454394455015183,0.7372636744111013,False
White,Kidney,MITF,8,1562,53,15942,0.5121638924455826,0.3324551499184544,1.54,0.2557615393220083,0.7473081831943615,False
White,Kidney,RAD51C,0,1562,6,15942,0.0,0.03763643206624012,0.0,1.0,1.0,False
White,Kidney,RAD51D,0,1562,5,15942,0.0,0.03136369338853343,0.0,1.0,1.0,False
White,Kidney,CDH1,0,1562,2,15942,0.0,0.012545477355413375,0.0,1.0,1.0,False
White,Lung,ATM,11,1606,45,15942,0.684931506849315,0.2822732404968009,2.43,0.016139369418602577,0.1262387078440101,False
White,Lung,BARD1,1,1606,3,15942,0.062266500622665005,0.01881821603312006,3.31,0.3188453043046693,0.8591893377059451,False
White,Lung,BRCA1,4,1606,29,15942,0.24906600249066002,0.1819094216534939,1.37,0.5391601679109455,1.0,False
White,Lung,BRCA2,10,1606,31,15942,0.62266500622665,0.1944548990089073,3.2,0.0032045004253501495,0.0382655050791812,True
White,Lung,CHEK2,4,1606,12,15942,0.24906600249066002,0.07527286413248024,3.31,0.05212697589246457,0.2704436206521137,False
White,Lung,MUTYH,25,1606,166,15942,1.5566625155666252,1.04127462049931,1.49,0.07549977862454303,0.34302074812020283,False
White,Lung,NF1,2,1606,4,15942,0.12453300124533001,0.02509095471082675,4.96,0.09795381531215881,0.40858817482948434,False
White,Lung,PALB2,2,1606,13,15942,0.12453300124533001,0.08154560281018693,1.53,0.6417870354335098,1.0,False
White,Lung,RET,0,1606,7,15942,0.0,0.043909170743946804,0.0,1.0,1.0,False
White,Lung,TP53,1,1606,5,15942,0.062266500622665005,0.03136369338853343,1.99,0.4378481192910442,1.0,False
White,Lung,APC,0,1606,4,15942,0.0,0.02509095471082675,0.0,1.0,1.0,False
White,Lung,MLH1,1,1606,4,15942,0.062266500622665005,0.02509095471082675,2.48,0.38119906862789654,0.9553507522402839,False
White,Lung,MSH2,1,1606,1,15942,0.062266500622665005,0.006272738677706688,9.93,0.17466955692113698,0.6009816958473019,False
White,Lung,MSH6,0,1606,22,15942,0.0,0.1380002509095471,0.0,0.2571209767339277,0.7473081831943615,False
White,Lung,PMS2,2,1606,16,15942,0.12453300124533001,0.100363818843307,1.24,0.6777224154924205,1.0,False
White,Lung,FH,0,1606,1,15942,0.0,0.006272738677706688,0.0,1.0,1.0,False
White,Lung,FLCN,0,1606,1,15942,0.0,0.006272738677706688,0.0,1.0,1.0,False
White,Lung,CDKN2A,2,1606,2,15942,0.12453300124533001,0.012545477355413375,9.93,0.04431504737846287,0.24096307012039184,False
White,Lung,MITF,6,1606,53,15942,0.37359900373599003,0.3324551499184544,1.12,0.8193690289074099,1.0,False
White,Lung,RAD51C,1,1606,6,15942,0.062266500622665005,0.03763643206624012,1.65,0.48931408214696637,1.0,False
White,Lung,RAD51D,0,1606,5,15942,0.0,0.03136369338853343,0.0,1.0,1.0,False
White,Lung,CDH1,0,1606,2,15942,0.0,0.012545477355413375,0.0,1.0,1.0,False
White,Melanoma,ATM,13,2254,45,15942,0.5767524401064774,0.2822732404968009,2.04,0.027319560820030005,0.1728783979529661,False
White,Melanoma,BARD1,1,2254,3,15942,0.044365572315882874,0.01881821603312006,2.36,0.41082100362550883,1.0,False
White,Melanoma,BRCA1,7,2254,29,15942,0.3105590062111801,0.1819094216534939,1.71,0.2021812055540334,0.6549380541617359,False
White,Melanoma,BRCA2,10,2254,31,15942,0.44365572315882873,0.1944548990089073,2.28,0.02955431249988425,0.1799857631242951,False
White,Melanoma,CHEK2,3,2254,12,15942,0.13309671694764863,0.07527286413248024,1.77,0.4193648932997608,1.0,False
White,Melanoma,MUTYH,39,2254,166,15942,1.730257320319432,1.04127462049931,1.66,0.005465316211679076,0.05641317920190774,False
White,Melanoma,NF1,2,2254,4,15942,0.08873114463176575,0.02509095471082675,3.54,0.16402836529620196,0.5733954672555063,False
White,Melanoma,PALB2,3,2254,13,15942,0.13309671694764863,0.08154560281018693,1.63,0.4381054138345626,1.0,False
White,Melanoma,PTEN,1,2254,0,15942,0.044365572315882874,0.0,inf,0.12387337876456364,0.47914833678831104,False
White,Melanoma,RET,1,2254,7,15942,0.044365572315882874,0.043909170743946804,1.01,1.0,1.0,False
White,Melanoma,TP53,4,2254,5,15942,0.1774622892635315,0.03136369338853343,5.66,0.017669957813889112,0.13451255385823085,False
White,Melanoma,APC,1,2254,4,15942,0.044365572315882874,0.02509095471082675,1.77,0.48382064400744057,1.0,False
White,Melanoma,MLH1,0,2254,4,15942,0.0,0.02509095471082675,0.0,1.0,1.0,False
White,Melanoma,MSH2,0,2254,1,15942,0.0,0.006272738677706688,0.0,1.0,1.0,False
White,Melanoma,MSH6,0,2254,22,15942,0.0,0.1380002509095471,0.0,0.10082604220654622,0.4177078891414057,False
White,Melanoma,PMS2,0,2254,16,15942,0.0,0.100363818843307,0.0,0.2472727961289653,0.741818388386896,False
White,Melanoma,FH,1,2254,1,15942,0.044365572315882874,0.006272738677706688,7.07,0.2324081083201929,0.7129546517469367,False
White,Melanoma,FLCN,0,2254,1,15942,0.0,0.006272738677706688,0.0,1.0,1.0,False
White,Melanoma,CDKN2A,9,2254,2,15942,0.39929015084294583,0.012545477355413375,31.83,2.9434354351355974e-07,1.280394414283985e-05,True
White,Melanoma,MITF,30,2254,53,15942,1.3309671694764862,0.3324551499184544,4.0,2.3080074819807164e-08,1.1713137971052134e-06,True
White,Melanoma,RAD51C,2,2254,6,15942,0.08873114463176575,0.03763643206624012,2.36,0.2601466910298927,0.7473081831943615,False
White,Melanoma,RAD51D,0,2254,5,15942,0.0,0.03136369338853343,0.0,1.0,1.0,False
White,Melanoma,CDH1,2,2254,2,15942,0.08873114463176575,0.012545477355413375,7.07,0.07754803597933213,0.347255543466274,False
White,Ovarian,ATM,9,986,45,15942,0.9127789046653144,0.2822732404968009,3.23,0.003704178939854632,0.04096164279529993,True
White,Ovarian,BARD1,1,986,3,15942,0.10141987829614604,0.01881821603312006,5.39,0.2134268892949883,0.6804583305831329,False
White,Ovarian,BRCA1,40,986,29,15942,4.056795131845842,0.1819094216534939,22.3,8.906734461336126e-32,2.7121006434768505e-29,True
White,Ovarian,BRCA2,28,986,31,15942,2.839756592292089,0.1944548990089073,14.6,1.796689640354374e-19,2.7354599774395344e-17,True
White,Ovarian,CHEK2,0,986,12,15942,0.0,0.07527286413248024,0.0,1.0,1.0,False
White,Ovarian,MUTYH,10,986,166,15942,1.0141987829614605,1.04127462049931,0.97,1.0,1.0,False
White,Ovarian,NF1,1,986,4,15942,0.10141987829614604,0.02509095471082675,4.04,0.2592529993845145,0.7473081831943615,False
White,Ovarian,PALB2,2,986,13,15942,0.2028397565922921,0.08154560281018693,2.49,0.2163497128132644,0.6826786274781245,False
White,Ovarian,PTEN,2,986,0,15942,0.2028397565922921,0.0,inf,0.0033894364916041675,0.03905997378320977,True
White,Ovarian,RET,0,986,7,15942,0.0,0.043909170743946804,0.0,1.0,1.0,False
White,Ovarian,TP53,3,986,5,15942,0.3042596348884381,0.03136369338853343,9.7,0.008843875527789433,0.08038686860333977,False
White,Ovarian,APC,1,986,4,15942,0.10141987829614604,0.02509095471082675,4.04,0.2592529993845145,0.7473081831943615,False
White,Ovarian,MLH1,1,986,4,15942,0.10141987829614604,0.02509095471082675,4.04,0.2592529993845145,0.7473081831943615,False
White,Ovarian,MSH2,2,986,1,15942,0.2028397565922921,0.006272738677706688,32.34,0.009774216894434562,0.08626808824218331,False
White,Ovarian,MSH6,4,986,22,15942,0.4056795131845842,0.1380002509095471,2.94,0.061584110265391304,0.30245744477115566,False
White,Ovarian,PMS2,3,986,16,15942,0.3042596348884381,0.100363818843307,3.03,0.09524583546621093,0.40003250895808595,False
White,Ovarian,FH,2,986,1,15942,0.2028397565922921,0.006272738677706688,32.34,0.009774216894434562,0.08626808824218331,False
White,Ovarian,FLCN,0,986,1,15942,0.0,0.006272738677706688,0.0,1.0,1.0,False
White,Ovarian,CDKN2A,1,986,2,15942,0.10141987829614604,0.012545477355413375,8.08,0.16476881242974317,0.5733954672555063,False
White,Ovarian,MITF,1,986,53,15942,0.10141987829614604,0.3324551499184544,0.31,0.3742320246197627,0.9451627904847086,False
White,Ovarian,RAD51C,1,986,6,15942,0.10141987829614604,0.03763643206624012,2.69,0.3430584207109986,0.9005283543663715,False
White,Ovarian,RAD51D,4,986,5,15942,0.4056795131845842,0.03136369338853343,12.93,0.001138082928725508,0.01732731258984586,True
White,Ovarian,CDH1,0,986,2,15942,0.0,0.012545477355413375,0.0,1.0,1.0,False
White,Pancreatic,ATM,11,643,45,15942,1.7107309486780715,0.2822732404968009,6.06,8.288453339858463e-06,0.0002804260046652114,True
White,Pancreatic,BARD1,2,643,3,15942,0.3110419906687403,0.01881821603312006,16.53,0.01388158920023533,0.11271850430591088,False
White,Pancreatic,BRCA1,6,643,29,15942,0.9331259720062209,0.1819094216534939,5.13,0.0020606735806968173,0.02728152631835569,True
White,Pancreatic,BRCA2,14,643,31,15942,2.177293934681182,0.1944548990089073,11.2,8.261094642900459e-10,6.288758296907975e-08,True
White,Pancreatic,CHEK2,1,643,12,15942,0.15552099533437014,0.07527286413248024,2.07,0.4020390102266155,0.9952916960488164,False
White,Pancreatic,MUTYH,9,643,166,15942,1.3996889580093312,1.04127462049931,1.34,0.32758842254742637,0.8738843385679168,False
White,Pancreatic,NF1,0,643,4,15942,0.0,0.02509095471082675,0.0,1.0,1.0,False
White,Pancreatic,PALB2,3,643,13,15942,0.46656298600311047,0.08154560281018693,5.72,0.02227869928298947,0.14895468106825843,False
White,Pancreatic,RET,0,643,7,15942,0.0,0.043909170743946804,0.0,1.0,1.0,False
White,Pancreatic,TP53,0,643,5,15942,0.0,0.03136369338853343,0.0,1.0,1.0,False
White,Pancreatic,APC,2,643,4,15942,0.3110419906687403,0.02509095471082675,12.4,0.020291083086093453,0.1404235181753513,False
White,Pancreatic,MLH1,2,643,4,15942,0.3110419906687403,0.02509095471082675,12.4,0.020291083086093453,0.1404235181753513,False
White,Pancreatic,MSH2,1,643,1,15942,0.15552099533437014,0.006272738677706688,24.79,0.07603908209561147,0.34302074812020283,False
White,Pancreatic,MSH6,0,643,22,15942,0.0,0.1380002509095471,0.0,1.0,1.0,False
White,Pancreatic,PMS2,4,643,16,15942,0.6220839813374806,0.100363818843307,6.2,0.006606264780498181,0.06386055954481576,False
White,Pancreatic,FH,0,643,1,15942,0.0,0.006272738677706688,0.0,1.0,1.0,False
White,Pancreatic,FLCN,0,643,1,15942,0.0,0.006272738677706688,0.0,1.0,1.0,False
White,Pancreatic,CDKN2A,3,643,2,15942,0.46656298600311047,0.012545477355413375,37.19,0.0005470752875020758,0.01009602576026558,True
White,Pancreatic,MITF,4,643,53,15942,0.6220839813374806,0.3324551499184544,1.87,0.2837530578948184,0.7841950853302792,False
White,Pancreatic,RAD51C,0,643,6,15942,0.0,0.03763643206624012,0.0,1.0,1.0,False
White,Pancreatic,RAD51D,1,643,5,15942,0.15552099533437014,0.03136369338853343,4.96,0.2112340990726482,0.677060875448646,False
White,Pancreatic,CDH1,0,643,2,15942,0.0,0.012545477355413375,0.0,1.0,1.0,False
White,Prostate,ATM,28,6035,45,15942,0.463960231980116,0.2822732404968009,1.64,0.047740413004118104,0.25729125238502587,False
White,Prostate,BARD1,3,6035,3,15942,0.04971002485501243,0.01881821603312006,2.64,0.35582173500105646,0.9260488744258265,False
White,Prostate,BRCA1,14,6035,29,15942,0.231980115990058,0.1819094216534939,1.28,0.49384210799575395,1.0,False
White,Prostate,BRCA2,35,6035,31,15942,0.579950289975145,0.1944548990089073,2.98,1.1523972472650478e-05,0.0003693736439917969,True
White,Prostate,CHEK2,12,6035,12,15942,0.1988400994200497,0.07527286413248024,2.64,0.020167105184066968,0.1404235181753513,False
White,Prostate,MUTYH,96,6035,166,15942,1.5907207953603977,1.04127462049931,1.53,0.0013036844552136947,0.019364483737198537,True
White,Prostate,NF1,4,6035,4,15942,0.06628003314001657,0.02509095471082675,2.64,0.22721186946680288,0.7059797372718518,False
White,Prostate,PALB2,2,6035,13,15942,0.033140016570008285,0.08154560281018693,0.41,0.38353684280436773,0.957270234704344,False
White,Prostate,RET,2,6035,7,15942,0.033140016570008285,0.043909170743946804,0.75,1.0,1.0,False
White,Prostate,TP53,11,6035,5,15942,0.18227009113504555,0.03136369338853343,5.81,0.0006886503204731621,0.01221727239237681,True
White,Prostate,APC,1,6035,4,15942,0.016570008285004142,0.02509095471082675,0.66,1.0,1.0,False
White,Prostate,MLH1,1,6035,4,15942,0.016570008285004142,0.02509095471082675,0.66,1.0,1.0,False
White,Prostate,MSH2,2,6035,1,15942,0.033140016570008285,0.006272738677706688,5.28,0.18479700465825838,0.6194254042790539,False
White,Prostate,MSH6,2,6035,22,15942,0.033140016570008285,0.1380002509095471,0.24,0.03795202333842727,0.2140072427139093,False
White,Prostate,PMS2,7,6035,16,15942,0.115990057995029,0.100363818843307,1.16,0.8153596148388697,1.0,False
White,Prostate,FH,0,6035,1,15942,0.0,0.006272738677706688,0.0,1.0,1.0,False
White,Prostate,FLCN,4,6035,1,15942,0.06628003314001657,0.006272738677706688,10.57,0.022172842322356483,0.14895468106825843,False
White,Prostate,VHL,2,6035,0,15942,0.033140016570008285,0.0,inf,0.07539898953499372,0.34302074812020283,False
White,Prostate,CDKN2A,5,6035,2,15942,0.08285004142502071,0.012545477355413375,6.6,0.019533172633724557,0.1404235181753513,False
White,Prostate,MITF,41,6035,53,15942,0.6793703396851698,0.3324551499184544,2.04,0.0007248469870399555,0.012261994864092582,True
White,Prostate,RAD51C,5,6035,6,15942,0.08285004142502071,0.03763643206624012,2.2,0.1871498758412905,0.6194254042790539,False
White,Prostate,RAD51D,1,6035,5,15942,0.016570008285004142,0.03136369338853343,0.53,1.0,1.0,False
White,Prostate,CDH1,1,6035,2,15942,0.016570008285004142,0.012545477355413375,1.32,1.0,1.0,False
White,Stomach,ATM,5,252,45,15942,1.984126984126984,0.2822732404968009,7.03,0.0010495432842031569,0.016389022053326218,True
White,Stomach,BARD1,0,252,3,15942,0.0,0.01881821603312006,0.0,1.0,1.0,False
White,Stomach,BRCA1,1,252,29,15942,0.3968253968253968,0.1819094216534939,2.18,0.37558192988062317,0.9451627904847086,False
White,Stomach,BRCA2,5,252,31,15942,1.984126984126984,0.1944548990089073,10.2,0.0002228784524652646,0.004847606341119505,True
White,Stomach,CHEK2,0,252,12,15942,0.0,0.07527286413248024,0.0,1.0,1.0,False
White,Stomach,MUTYH,3,252,166,15942,1.1904761904761905,1.04127462049931,1.14,0.7487223736518144,1.0,False
White,Stomach,NF1,1,252,4,15942,0.3968253968253968,0.02509095471082675,15.82,0.07543146535440186,0.34302074812020283,False
White,Stomach,PALB2,1,252,13,15942,0.3968253968253968,0.08154560281018693,4.87,0.19720847458708984,0.6456987151803103,False
White,Stomach,RET,0,252,7,15942,0.0,0.043909170743946804,0.0,1.0,1.0,False
White,Stomach,TP53,1,252,5,15942,0.3968253968253968,0.03136369338853343,12.65,0.0898234148714005,0.3825346829138665,False
White,Stomach,APC,1,252,4,15942,0.3968253968253968,0.02509095471082675,15.82,0.07543146535440186,0.34302074812020283,False
White,Stomach,MLH1,0,252,4,15942,0.0,0.02509095471082675,0.0,1.0,1.0,False
White,Stomach,MSH2,3,252,1,15942,1.1904761904761905,0.006272738677706688,189.79,1.4724954798859637e-05,0.00044837487362527594,True
White,Stomach,MSH6,0,252,22,15942,0.0,0.1380002509095471,0.0,1.0,1.0,False
White,Stomach,PMS2,1,252,16,15942,0.3968253968253968,0.100363818843307,3.95,0.23413945870178546,0.7129546517469367,False
White,Stomach,FH,0,252,1,15942,0.0,0.006272738677706688,0.0,1.0,1.0,False
White,Stomach,FLCN,0,252,1,15942,0.0,0.006272738677706688,0.0,1.0,1.0,False
White,Stomach,CDKN2A,0,252,2,15942,0.0,0.012545477355413375,0.0,1.0,1.0,False
White,Stomach,MITF,3,252,53,15942,1.1904761904761905,0.3324551499184544,3.58,0.056512211461297916,0.2867994731660869,False
White,Stomach,RAD51C,0,252,6,15942,0.0,0.03763643206624012,0.0,1.0,1.0,False
White,Stomach,RAD51D,0,252,5,15942,0.0,0.03136369338853343,0.0,1.0,1.0,False
White,Stomach,CDH1,4,252,2,15942,1.5873015873015872,0.012545477355413375,126.52,8.381889014233611e-07,3.403046939778846e-05,True
Black/AA,Breast,ATM,8,1413,9,4751,0.5661712668082095,0.18943380340980845,2.99,0.036338652332757695,0.20682466608083586,False
Black/AA,Breast,BARD1,4,1413,1,4751,0.28308563340410475,0.021048200378867607,13.45,0.011243311646407352,0.09481416129440164,False
Black/AA,Breast,BRCA1,15,1413,5,4751,1.0615711252653928,0.10524100189433805,10.09,1.1226410609134714e-06,4.2730525381019e-05,True
Black/AA,Breast,BRCA2,25,1413,4,4751,1.7692852087756548,0.08419280151547043,21.01,7.681407722224387e-13,9.355954605669303e-11,True
Black/AA,Breast,CHEK2,1,1413,3,4751,0.07077140835102619,0.06314460113660282,1.12,1.0,1.0,False
