cancer_type,gene,cancer_carriers,cancer_total,control_carriers,control_total,cancer_freq_pct,control_freq_pct,enrichment,odds_ratio,p_value,q_value,significant
Stomach,PTEN,0,494,1,30000,0.0,0.0033333333333333335,0.0,0.0,1.0,1.0,False
Stomach,RAD51C,1,494,9,30000,0.20242914979757085,0.03,6.75,6.759,0.15070604668134474,0.39561012510408444,False
Stomach,RAD51D,0,494,11,30000,0.0,0.03666666666666667,0.0,0.0,1.0,1.0,False
Stomach,RET,0,494,8,30000,0.0,0.02666666666666667,0.0,0.0,1.0,1.0,False
Stomach,SDHA,1,494,20,30000,0.20242914979757085,0.06666666666666667,3.04,3.041,0.29043078864652416,0.6247839972102535,False
Stomach,SDHB,1,494,8,30000,0.20242914979757085,0.02666666666666667,7.59,7.604,0.1367168094788702,0.39561012510408444,False
Stomach,SDHD,0,494,0,30000,0.0,0.0,inf,,1.0,1.0,False
Stomach,TP53,1,494,9,30000,0.20242914979757085,0.03,6.75,6.759,0.15070604668134474,0.39561012510408444,False
Stomach,VHL,0,494,2,30000,0.0,0.006666666666666667,0.0,0.0,1.0,1.0,False
Stomach,RB1,0,494,0,30000,0.0,0.0,inf,,1.0,1.0,False
Stomach,SMAD4,1,494,1,30000,0.20242914979757085,0.0033333333333333335,60.73,60.85,0.03213790199231182,0.15649246825623553,False
